word_d,pos_d,words_m,poss_m,word_h,pos_h,order,rules_h,rules_am
полулёжа,adv,половина,noun,лёжа,tgr,1;0,,
полусидя,adv,половина,noun,сидя,tgr,1;0,,
полушутя,adv,половина,noun,шутя,tgr,1;0,,
полутемно,adv,половина,noun,темно,adv,1;0,,
полувсерьёз,adv,половина,noun,всерьёз,adv,1;0,,
полунаугад,adv,половина,noun,наугад,adv,1;0,,
мимоходом,adv,мимо,adv,ходить,verb,1;0,rule986(verb + ом/ком -> adv),
мимоездом,adv,мимо,adv,ездить,verb,1;0,rule986(verb + ом/ком -> adv),
мимолётом,adv,мимо,adv,лететь,verb,1;0,rule986(verb + ом/ком -> adv),
самоходом,adv,сам,pron,ходить,verb,1;0,rule986(verb + ом/ком -> adv),
самоплавом,adv,сам,pron,плавать,verb,1;0,rule986(verb + ом/ком -> adv),
самокатом,adv,сам,pron,катиться,verb,1;0,rule986(verb + ом/ком -> adv),
самоуком,adv,сам,pron,учиться,verb,1;0,rule986(verb + ом/ком -> adv),
в полнеба,adv,половина,noun,небо,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
в полроста,adv,половина,noun,рост,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполоборота,adv,половина,noun,оборот,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполсилы,adv,половина,noun,сила,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполнакала,adv,половина,noun,накал,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполголоса,adv,половина,noun,голос,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполслуха,adv,половина,noun,слух,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполуха,adv,половина,noun,ухо,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполглаза,adv,половина,noun,глаз,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполноги,adv,половина,noun,нога,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполдыхания,adv,половина,noun,дыхание,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполдуши,adv,половина,noun,душа,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
в пол-лица,adv,половина,noun,лицо,noun,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
вполоткрыта,adv,половина,noun,открытый,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
вполпряма,adv,половина,noun,прямой,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
вполпьяна,adv,половина,noun,пьяный,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
вполсыта,adv,половина,noun,сытый,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
втридорога,adv,три,num,дорогой,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
втридешева,adv,три,num,дешёвый,adj,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
полузакрыть,verb,половина,noun,закрыть,verb,1;0,,
полулежать,verb,половина,noun,лежать,verb,1;0,,
полуодеть,verb,половина,noun,одеть,verb,1;0,,
полусидеть,verb,половина,noun,сидеть,verb,1;0,,
полуистлеть,verb,половина,noun,истлеть,verb,1;0,,
полупеть,verb,половина,noun,петь,verb,1;0,,
полуговорить,verb,половина,noun,говорить,verb,1;0,,
полускрыть,verb,половина,noun,скрыть,verb,1;0,,
полусгибаться,verb,половина,noun,сгибаться,verb,1;0,,
самовоспламениться,verb,сам,pron,воспламениться,verb,1;0,,
самозатачиваться,verb,сам,pron,затачиваться,verb,1;0,,
самоопределиться,verb,сам,pron,определиться,verb,1;0,,
самоопыляться,verb,сам,pron,опыляться,verb,1;0,,
самоочищаться,verb,сам,pron,очищаться,verb,1;0,,
самоустраниться,verb,сам,pron,устраниться,verb,1;0,,
саморазвлекаться,verb,сам,pron,развлекаться,verb,1;0,,
самоликвидироваться,verb,сам,pron,ликвидироваться,verb,1;0,,
видоизменить,verb,вид,noun,изменить,verb,1;0,,
злоупотребить,verb,зло,noun,употребить,verb,1;0,,
кровохаркать,verb,кровь,noun,харкать,verb,1;0,,
плодоносить,verb,плод,noun,носить,verb,1;0,,
трудоустроить,verb,труд,noun,устроить,verb,1;0,,
взаимодействовать,verb,взаимный,adj,действовать,verb,1;0,,
радиофицировать,verb,-фицировать,suffixoid,радио,glroot,0;1,,
теплофицировать,verb,-фицировать,suffixoid,тепло,noun,0;1,,
звукофицировать,verb,-фицировать,suffixoid,звук,noun,0;1,,
кинофицировать,verb,-фицировать,suffixoid,кино,noun,0;1,,
газифицировать,verb,-фицировать,suffixoid,газ,noun,0;1,,
газофицировать,verb,-фицировать,suffixoid,газ,noun,0;1,,
электрифицировать,verb,-фицировать,suffixoid,электро,glroot,0;1,,
электрофицировать,verb,-фицировать,suffixoid,электро,glroot,0;1,,
интенсифицировать,verb,-фицировать,suffixoid,интенсивный,adj,0;1,,
русифицировать,verb,-фицировать,suffixoid,русский,adj,0;1,,
благотворить,verb,,,,,1;0,,
злоумышлять,verb,,,,,1;0,,
