lemma	pos	inflect_type	real
стичь	VERB	8*3	0
волочь	VERB	8к	1
речь	VERB	8к	0
течь	VERB	8к	1
обречь	VERB	8к	1
сечь	VERB	8к	1
печь	VERB	8к	1
толочь	VERB	8к	1
влечь	VERB	8к	1
прячь	VERB	8г	0
жечь	VERB	8г	1
лечь	VERB	8г	1
мочь	VERB	8г	1
стричь	VERB	8г	1
беречь	VERB	8г	1
стеречь	VERB	8г	1
небречь	VERB	8г	1
честь	VERB	7т	1
плести	VERB	7т	1
мести	VERB	7т	1
мясти	VERB	7т	0
цвести	VERB	7т	1
гнести	VERB	7т	1
обрести	VERB	7т	1
рассвести	VERB	7т	1
расти	VERB	7ст	1
пасти	VERB	7с	1
нести	VERB	7с	1
трясти	VERB	7с	1
везти	VERB	7з	1
лезть	VERB	7з	1
ползти	VERB	7з	1
грызть	VERB	7з	1
верзть	VERB	7з	0
вести	VERB	7д	1
красть	VERB	7д	1
сесть	VERB	7д	1
класть	VERB	7д	1
пасть	VERB	7д	1
брести	VERB	7д	1
прясть	VERB	7д	1
блюсти	VERB	7д	1
грясти	VERB	7д	1
густи	VERB	7д	1
грести	VERB	7б	1
скрести	VERB	7б	1
бить	VERB	11	1
лить	VERB	11	1
пить	VERB	11	1
вить	VERB	11	1
шить	VERB	11	1
тереть	VERB	9	1
переть	VERB	9	1
мереть	VERB	9	1
пороть	VERB	10ор	1
бороть	VERB	10ор	1
молоть	VERB	10ол	1
колоть	VERB	10ол	1
полоть	VERB	10ол	1
брить	VERB	12брить	1
петь	VERB	12петь	1
греть	VERB	12греть	1
мыть	VERB	12ы	1
крыть	VERB	12ы	1
рыть	VERB	12ы	1
выть	VERB	12ы	1
ныть	VERB	12ы	1
уныть	VERB	12ы	1
гнить	VERB	12и	1
почить	VERB	12и	1
дуть	VERB	12у	1
уть	VERB	12у	0
жать	VERB	14м	1
жать	VERB	14н	1
мять	VERB	14н	1
пять	VERB	14н	1
чать	VERB	14н	0
ять	VERB	14йм	0
стать	VERB	15	1
деть	VERB	15	1
стыть	VERB	15	1
плыть	VERB	16	1
жить	VERB	16	1
клясть	VERB	клясть	1
есть	VERB	есть	1
дать	VERB	дать	1
быть	VERB	быть	1
ехать	VERB	ехать	1
идти	VERB	идти	1
