word_s	pos_s	word_d	pos_d	rule_id	der_type
куст	noun	кустарник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
кочка	noun	кочкарник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
пихта	noun	пихтарник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
свинья	noun	свинарник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
письмо	noun	письмовник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
шишка	noun	шишковник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
короб	noun	коробейник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
песня	noun	песельник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
полдень	noun	полдник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
выжлец	noun	выжлятник	noun	rule329(noun + ник/атник/арник/овник -> noun)	SFX
лес	noun	лесовщик	noun	rule331(noun + щик/чик/овщик -> noun)	SFX
скоба	noun	скобовщик	noun	rule331(noun + щик/чик/овщик -> noun)	SFX
волк	noun	волковщик	noun	rule331(noun + щик/чик/овщик -> noun)	SFX
клеймо	noun	клеймовщик	noun	rule331(noun + щик/чик/овщик -> noun)	SFX
старье	noun	старьевщик	noun	rule331(noun + щик/чик/овщик -> noun)	SFX
пехота	noun	пехотинец	noun	rule332(noun + ец/инец -> noun)	SFX
челядь	noun	челядинец	noun	rule332(noun + ец/инец -> noun)	SFX
иноходь	noun	иноходец	noun	rule332(noun + ец/инец -> noun)	SFX
теленок	noun	телец	noun	rule332(noun + ец/инец -> noun)	SFX
рыба	noun	рыбец	noun	rule332(noun + ец/инец -> noun)	SFX
ремень	noun	ремнец	noun	rule332(noun + ец/инец -> noun)	SFX
нутро	noun	нутрец	noun	rule332(noun + ец/инец -> noun)	SFX
Пруссия	noun	пруссак	noun	rule333(noun + ак -> noun)	SFX
свинец	noun	свинчак	noun	rule333(noun + ак -> noun)	SFX
Тобольск	noun	тоболяк	noun	rule333(noun + ак -> noun)	SFX
лошадь	noun	лошак	noun	rule333(noun + ак -> noun)	SFX
Польша	noun	поляк	noun	rule333(noun + ак -> noun)	SFX
Смоленск	noun	смоляк	noun	rule333(noun + ак -> noun)	SFX
мания	noun	маньяк	noun	rule333(noun + ак -> noun)	SFX
известь	noun	известняк	noun	rule333(noun + ак -> noun)	SFX
скрипка	noun	скрипач	noun	rule334(noun + ач -> noun)	SFX
Москва	noun	москвич	noun	rule335(noun + ич -> noun)	SFX
Вятка	noun	вятич	noun	rule335(noun + ич -> noun)	SFX
Омск	noun	омич	noun	rule335(noun + ич -> noun)	SFX
Томск	noun	томич	noun	rule335(noun + ич -> noun)	SFX
Тотьма	noun	тотьмич	noun	rule335(noun + ич -> noun)	SFX
Вязьма	noun	вязьмич	noun	rule335(noun + ич -> noun)	SFX
Серпухов	noun	серпухович	noun	rule335(noun + ич -> noun)	SFX
Яхрома	noun	яхромич	noun	rule335(noun + ич -> noun)	SFX
Чухлома	noun	чухломич	noun	rule335(noun + ич -> noun)	SFX
холм	noun	холмич	noun	rule335(noun + ич -> noun)	SFX
Гдов	noun	гдович	noun	rule335(noun + ич -> noun)	SFX
остров	noun	острович	noun	rule335(noun + ич -> noun)	SFX
Порхов	noun	порхович	noun	rule335(noun + ич -> noun)	SFX
Сормово	noun	сормович	noun	rule335(noun + ич -> noun)	SFX
род	noun	родич	noun	rule335(noun + ич -> noun)	SFX
шляхта	noun	шляхтич	noun	rule335(noun + ич -> noun)	SFX
князь	noun	княжич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
барин	noun	барич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
пан	noun	паныч	noun	rule336(noun + ич/ович/евич -> noun)	SFX
Пров	noun	Прович	noun	rule336(noun + ич/ович/евич -> noun)	SFX
батька	noun	батькович	noun	rule336(noun + ич/ович/евич -> noun)	SFX
король	noun	королевич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
царь	noun	царевич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
цесарь	noun	цесаревич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
Яков	noun	Яковлевич	noun	rule336(noun + ич/ович/евич -> noun)	SFX
Киев	noun	киевляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
остров	noun	островитяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Москва	noun	москвитяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Псков	noun	псковитяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Ржев	noun	ржевитяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Аравия	noun	аравитяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Самара	noun	самаритяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Англия	noun	англичане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Псков	noun	псковичане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Гдов	noun	гдовичане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Томск	noun	томичане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Варна	noun	варничане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Марс	noun	марсиане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Христос	noun	христиане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Никон	noun	никониане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
пресвитер	noun	пресвитериане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Израиль	noun	израильтяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Молога	noun	мологжане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Мга	noun	мгинчане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Армения	noun	армяне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Нальчик	noun	нальчане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Камышин	noun	камышане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Смоленск	noun	смоляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Прокопьевск	noun	прокопчане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Ливны	noun	ливчане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Буй	noun	буевляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Лютер	noun	лютеране	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Магомет	noun	магометане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Крестцы	noun	крещане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Котлас	noun	котлашане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Витебск	noun	витебляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Рим	noun	римляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Кемь	noun	кемляне	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Молдавия	noun	молдаване	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
Дания	noun	датчане	noun	rule337(noun + ан-ин/чан-ин -> noun)	SFX
уши	noun	ушан	noun	rule339(noun + ан -> noun)	SFX
кожа	noun	кожан	noun	rule339(noun + ан -> noun)	SFX
лоб	noun	лобан	noun	rule339(noun + ан -> noun)	SFX
горло	noun	горлан	noun	rule339(noun + ан -> noun)	SFX
пузо	noun	пузан	noun	rule339(noun + ан -> noun)	SFX
брюхо	noun	брюхан	noun	rule339(noun + ан -> noun)	SFX
губа	noun	губан	noun	rule339(noun + ан -> noun)	SFX
голова	noun	голован	noun	rule339(noun + ан -> noun)	SFX
интрига	noun	интриган	noun	rule339(noun + ан -> noun)	SFX
политика	noun	политикан	noun	rule339(noun + ан -> noun)	SFX
критика	noun	критикан	noun	rule339(noun + ан -> noun)	SFX
смута	noun	смутьян	noun	rule339(noun + ан -> noun)	SFX
роза	noun	розан	noun	rule339(noun + ан -> noun)	SFX
буря	noun	буран	noun	rule339(noun + ан -> noun)	SFX
брат	noun	братан	noun	rule339(noun + ан -> noun)	SFX
орел	noun	орлан	noun	rule339(noun + ан -> noun)	SFX
кухня	noun	кухарь	noun	rule340(noun + арь -> noun)	SFX
ворота	noun	вратарь	noun	rule340(noun + арь -> noun)	SFX
техника	noun	технарь	noun	rule340(noun + арь -> noun)	SFX
плуг	noun	плугатарь	noun	rule340(noun + арь -> noun)	SFX
бочка	noun	бочар	noun	rule341(noun + ар -> noun)	SFX
гусли	noun	гусляр	noun	rule341(noun + ар -> noun)	SFX
овца	noun	овчар	noun	rule341(noun + ар -> noun)	SFX
школа	noun	школяр	noun	rule341(noun + ар -> noun)	SFX
собака	noun	собачар	noun	rule341(noun + ар -> noun)	SFX
коммуна	noun	коммунар	noun	rule341(noun + ар -> noun)	SFX
рецепт	noun	рецептар	noun	rule341(noun + ар -> noun)	SFX
юбилей	noun	юбиляр	noun	rule341(noun + ар -> noun)	SFX
песня	noun	песняр	noun	rule341(noun + ар -> noun)	SFX
триумф	noun	триумфатор	noun	rule342(noun + атор/тор/итор -> noun)	SFX
эмульсия	noun	эмульгатор	noun	rule342(noun + атор/тор/итор -> noun)	SFX
шашки	noun	шашист	noun	rule343(noun + ист -> noun)	SFX
дзюдо	noun	дзюдоист	noun	rule343(noun + ист -> noun)	SFX
алгебра	noun	алгебраист	noun	rule343(noun + ист -> noun)	SFX
Византия	noun	византинист	noun	rule343(noun + ист -> noun)	SFX
Индия	noun	индианист	noun	rule343(noun + ист -> noun)	SFX
морфий	noun	морфинист	noun	rule343(noun + ист -> noun)	SFX
паралич	noun	паралитик	noun	rule344(noun + ик -> noun)	SFX
теория	noun	теоретик	noun	rule344(noun + ик -> noun)	SFX
проза	noun	прозаик	noun	rule344(noun + ик -> noun)	SFX
сифилис	noun	сифилитик	noun	rule344(noun + ик -> noun)	SFX
бенефис	noun	бенефициант	noun	rule345(noun + ант -> noun)	SFX
инициатива	noun	инициатор	noun	rule346(noun + ор -> noun)	SFX
телевидение	noun	телевизор	noun	rule346(noun + ор -> noun)	SFX
антреприза	noun	антрепренёр	noun	rule346(noun + ор -> noun)	SFX
костюм	noun	костюмер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
карабин	noun	карабинер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
легион	noun	легионер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
пансион	noun	пансионер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
миллион	noun	миллионер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
миллиард	noun	миллиардер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
медаль	noun	медальер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
гондола	noun	гондольер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
эмаль	noun	эмальер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
квартира	noun	квартирьер	noun	rule347(noun + ер/онер/ир -> noun)	SFX
бригада	noun	бригадир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
фураж	noun	фуражир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
банк	noun	банкир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
конвой	noun	конвоир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
касса	noun	кассир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
дебош	noun	дебошир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
банкет	noun	банкетир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
кираса	noun	кирасир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
аркебуз	noun	аркебузир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
баланс	noun	балансир	noun	rule347(noun + ер/онер/ир -> noun)	SFX
пудра	noun	пудреница	noun	rule348(noun + ниц(а) -> noun)	SFX
фрукт	noun	фруктовница	noun	rule348(noun + ниц(а) -> noun)	SFX
сигара	noun	сигарочница	noun	rule348(noun + ниц(а) -> noun)	SFX
лента	noun	ленточница	noun	rule348(noun + ниц(а) -> noun)	SFX
халва	noun	халвичница	noun	rule348(noun + ниц(а) -> noun)	SFX
гусь	noun	гусятница	noun	rule348(noun + ниц(а) -> noun)	SFX
яйцо	noun	яичница	noun	rule348(noun + ниц(а) -> noun)	SFX
стол	noun	столешница	noun	rule348(noun + ниц(а) -> noun)	SFX
пух	noun	пушица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
свёкла	noun	свекловица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
нога	noun	ноговица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
рука	noun	рукавица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
мёд	noun	медуница	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
пядь	noun	пяденица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
черепок	noun	черепица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
ядро	noun	ядрица	noun	rule349(noun + иц(а)/овиц(а) -> noun)	SFX
конюх	noun	конюшня	noun	rule350(noun + н(я) -> noun)	SFX
скворец	noun	скворечня	noun	rule350(noun + н(я) -> noun)	SFX
гридь	noun	гридня	noun	rule350(noun + н(я) -> noun)	SFX
колокол	noun	колокольня	noun	rule350(noun + н(я) -> noun)	SFX
кумир	noun	кумирня	noun	rule350(noun + н(я) -> noun)	SFX
сыр	noun	сырня	noun	rule350(noun + н(я) -> noun)	SFX
бакалея	noun	бакалейня	noun	rule350(noun + н(я) -> noun)	SFX
вол	noun	воловня	noun	rule350(noun + н(я) -> noun)	SFX
жар	noun	жаровня	noun	rule350(noun + н(я) -> noun)	SFX
рой	noun	роёвня	noun	rule350(noun + н(я) -> noun)	SFX
голубь	noun	голубятня	noun	rule350(noun + н(я) -> noun)	SFX
кофе	noun	кофейня	noun	rule350(noun + н(я) -> noun)	SFX
торг	noun	торжище	noun	rule351(noun + ищ(е) -> noun)	SFX
топор	noun	топорище	noun	rule352(noun + ищ(е)/овищ(е) -> noun)	SFX
коса	noun	косовище	noun	rule352(noun + ищ(е)/овищ(е) -> noun)	SFX
кнут	noun	кнутовище	noun	rule352(noun + ищ(е)/овищ(е) -> noun)	SFX
метла	noun	метловище	noun	rule352(noun + ищ(е)/овищ(е) -> noun)	SFX
паук	noun	паутина	noun	rule353(noun + ин(а)/овин(а) -> noun)	SFX
станок	noun	станина	noun	rule353(noun + ин(а)/овин(а) -> noun)	SFX
большевик	noun	большевизм	noun	rule355(noun + изм -> noun)	SFX
меньшевик	noun	меньшевизм	noun	rule355(noun + изм -> noun)	SFX
Бакунин	noun	бакунизм	noun	rule355(noun + изм -> noun)	SFX
консерватор	noun	консерватизм	noun	rule355(noun + изм -> noun)	SFX
альбинос	noun	альбинизм	noun	rule355(noun + изм -> noun)	SFX
ультиматум	noun	ультиматизм	noun	rule355(noun + изм -> noun)	SFX
лама	noun	ламаизм	noun	rule355(noun + изм -> noun)	SFX
Митра	noun	митраизм	noun	rule355(noun + изм -> noun)	SFX
иудей	noun	иудаизм	noun	rule355(noun + изм -> noun)	SFX
Луна	noun	лунатизм	noun	rule355(noun + изм -> noun)	SFX
Фурье	noun	фурьеризм	noun	rule355(noun + изм -> noun)	SFX
Византия	noun	византинизм	noun	rule355(noun + изм -> noun)	SFX
энергия	noun	энергетика	noun	rule356(noun + ик(а) -> noun)	SFX
диета	noun	диететика	noun	rule356(noun + ик(а) -> noun)	SFX
директор	noun	дирекция	noun	rule357(noun + иj(а) -> noun)	SFX
митрополит	noun	митрополия	noun	rule357(noun + иj(а) -> noun)	SFX
нотариус	noun	нотариат	noun	rule358(noun + ат -> noun)	SFX
Бештау	noun	бештаунит	noun	rule359(noun + ит -> noun)	SFX
слюда	noun	слюдинит	noun	rule359(noun + ит -> noun)	SFX
Керчь	noun	керченит	noun	rule359(noun + ит -> noun)	SFX
аппендикс	noun	аппендицит	noun	rule359(noun + ит -> noun)	SFX
Эллада	noun	эллин	noun	rule360(noun + ин -> noun)	SFX
семья	noun	семьянин	noun	rule360(noun + ин -> noun)	SFX
власть	noun	властелин	noun	rule360(noun + ин -> noun)	SFX
аббревиация	noun	аббревиатура	noun	rule361(noun + ур(а)/атур(а) -> noun)	SFX
эксцентрик	noun	эксцентриада	noun	rule362(noun + ад(а)/иад(а) -> noun)	SFX
этикетка	noun	этикетаж	noun	rule365(noun + аж -> noun)	SFX
калория	noun	калораж	noun	rule365(noun + аж -> noun)	SFX
трико	noun	трикотаж	noun	rule365(noun + аж -> noun)	SFX
жребий	noun	жеребьёвка	noun	rule366(noun + овк(а) -> adj)	SFX
рекорд	noun	рекордсмен	noun	rule367(noun + смен -> noun)	SFX
спорт	noun	спортсмен	noun	rule367(noun + смен -> noun)	SFX
яхта	noun	яхтсмен	noun	rule367(noun + смен -> noun)	SFX
бизнес	noun	бизнесмен	noun	rule367(noun + смен -> noun)	SFX
конгресс	noun	конгрессмен	noun	rule367(noun + смен -> noun)	SFX
кросс	noun	кроссмен	noun	rule367(noun + смен -> noun)	SFX
полиция	noun	полисмен	noun	rule367(noun + смен -> noun)	SFX
бар	noun	бармен	noun	rule367(noun + смен -> noun)	SFX
полиция	noun	полицмейстер	noun	rule368(noun + мейстер -> noun)	SFX
психика	noun	психоз	noun	rule369(noun + оз -> noun)	SFX
невро-	noun	невроз	noun	rule369(noun + оз -> noun)	SFX
бензин	noun	бензол	noun	rule370(noun + ол -> noun)	SFX
автомобиль	noun	автол	noun	rule370(noun + ол -> noun)	SFX
аэро-	noun	аэрарий	noun	rule371(noun + арий/орий -> noun)	SFX
дендро-	noun	дендрарий	noun	rule371(noun + арий/орий -> noun)	SFX
профилактика	noun	профилакторий	noun	rule371(noun + арий/орий -> noun)	SFX
лес	noun	лесничий	noun	rule373(noun + нич(ий) -> noun)	SFX
город	noun	городничий	noun	rule373(noun + нич(ий) -> noun)	SFX
