word_s	pos_s	word_d	pos_d	rule_id	der_type
стичь	verb	достичь	verb	rule860(до + verb -> verb)	PFX
стичь	verb	застичь	verb	rule861(за + verb -> verb)	PFX
стичь	verb	настичь	verb	rule863(на + verb -> verb)	PFX
стичь	verb	перестичь	verb	rule870(пере + verb -> verb)	PFX
стичь	verb	постичь	verb	rule871(по + verb -> verb)	PFX
стичь	verb	пристичь	verb	rule875(при + verb -> verb)	PFX
волочь	verb	волокуша	noun	rule236(verb + ш(а)/уш(а) -> noun)	SFX
волочь	verb	волочение	noun	rule256(verb + ниj(е) -> noun)	SFX
волочь	verb	волочься	verb	rule930(verb + ся -> verb)	PTFX
волочь	verb	вволочь	verb	rule855(в + verb -> verb)	PFX
волочь	verb	взволочь	verb	rule855(вз + verb -> verb)	PFX
волочь	verb	выволочь	verb	rule857(вы + verb -> verb)	PFX
волочь	verb	доволочь	verb	rule860(до + verb -> verb)	PFX
волочь	verb	заволочь	verb	rule861(за + verb -> verb)	PFX
волочь	verb	наволочь	verb	rule863(на + verb -> verb)	PFX
волочь	verb	обволочь	verb	rule868(об + verb -> verb)	PFX
волочь	verb	отволочь	verb	rule869(от + verb -> verb)	PFX
волочь	verb	переволочь	verb	rule870(пере + verb -> verb)	PFX
волочь	verb	поволочь	verb	rule871(по + verb -> verb)	PFX
волочь	verb	подволочь	verb	rule872(под + verb -> verb)	PFX
волочь	verb	приволочь	verb	rule875(при + verb -> verb)	PFX
волочь	verb	проволочь	verb	rule876(про + verb -> verb)	PFX
волочь	verb	разволочь	verb	rule877(раз + verb -> verb)	PFX
волочь	verb	сволочь	verb	rule879(с + verb -> verb)	PFX
волочь	verb	уволочь	verb	rule881(у + verb -> verb)	PFX
волочь	verb	выволакивать	verb	rule914(вы + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	наволакивать	verb	rule915(на + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	отволакивать	verb	rule916(от + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	переволакивать	verb	rule917(пере + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	подволакивать	verb	rule919(под + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	приволакивать	verb	rule920(при + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	разволакивать	verb	rule921(раз + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
волочь	verb	вволочься	verb	rule937(в + verb + ся -> verb)	PFX,PTFX
волочь	verb	взволочься	verb	rule938(вз + verb + ся -> verb)	PFX,PTFX
волочь	verb	выволочься	verb	rule939(вы + verb + ся -> verb)	PFX,PTFX
волочь	verb	доволочься	verb	rule940(до + verb + ся -> verb)	PFX,PTFX
волочь	verb	заволочься	verb	rule941(за + verb + ся -> verb)	PFX,PTFX
волочь	verb	обволочься	verb	rule945(об + verb + ся -> verb)	PFX,PTFX
волочь	verb	отволочься	verb	rule946(от + verb + ся -> verb)	PFX,PTFX
волочь	verb	подволочься	verb	rule947(под + verb + ся -> verb)	PFX,PTFX
волочь	verb	приволочься	verb	rule948(при + verb + ся -> verb)	PFX,PTFX
волочь	verb	проволочься	verb	rule949(про + verb + ся -> verb)	PFX,PTFX
волочь	verb	разволочься	verb	rule950(раз + verb + ся -> verb)	PFX,PTFX
волочь	verb	сволочься	verb	rule951(с + verb + ся -> verb)	PFX,PTFX
волочь	verb	уволочься	verb	rule952(у + verb + ся -> verb)	PFX,PTFX
волочь	verb	переволакиваться	verb	rule959(пере + verb + ива(ть)/ва(ть)/а3(ть) + ся -> verb)	PFX,SFX,PTFX
волочь	verb	волоком	adv	rule986(verb + ом/ком -> adv)	SFX
речь	verb	регаль	noun	rule223(verb + аль -> noun)	SFX
речь	verb	речение	noun	rule256(verb + ниj(е) -> noun)	SFX
речь	verb	речка	noun	rule262(verb + к(а)/овк(а)/ёжк(а) -> noun)	SFX
речь	verb	реч	noun	rule446(verb + 0m2 -> noun)	SFX
речь	verb	реж	noun	rule446(verb + 0m2 -> noun)	SFX
речь	verb	речь	noun	rule454(verb + 0f3 -> noun)	SFX
речь	verb	нерка	noun	rule538(не + verb + 0f1 -> noun)	PFX,SFX
речь	verb	речной	adj	rule646(verb + н1(ый) -> adj)	SFX
речь	verb	речистый	adj	rule658(verb + ист(ый) -> adj)	SFX
речь	verb	заречь	verb	rule861(за + verb -> verb)	PFX
речь	verb	изречь	verb	rule862(из + verb -> verb)	PFX
речь	verb	наречь	verb	rule863(на + verb -> verb)	PFX
речь	verb	обречь	verb	rule868(об + verb -> verb)	PFX
речь	verb	отречь	verb	rule869(от + verb -> verb)	PFX
речь	verb	предречь	verb	rule874(пред + verb -> verb)	PFX
речь	verb	проречь	verb	rule876(про + verb -> verb)	PFX
речь	verb	нарекать	verb	rule915(на + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
речь	verb	отрекать	verb	rule916(от + verb + ива(ть)/ва(ть)/а3(ть) -> verb)	PFX,SFX
речь	verb	заречься	verb	rule941(за + verb + ся -> verb)	PFX,PTFX
речь	verb	изречься	verb	rule942(из + verb + ся -> verb)	PFX,PTFX
речь	verb	наречься	verb	rule943(на + verb + ся -> verb)	PFX,PTFX
речь	verb	обречься	verb	rule945(об + verb + ся -> verb)	PFX,PTFX
речь	verb	отречься	verb	rule946(от + verb + ся -> verb)	PFX,PTFX
течь	verb	течение	noun	rule256(verb + ниj(е) -> noun)	SFX
течь	verb	течка	noun	rule262(verb + к(а)/овк(а)/ёжк(а) -> noun)	SFX
течь	verb	течь	noun	rule454(verb + 0f3 -> noun)	SFX
