word,accent,gram,infltype,label,forms
жечь,2,нсв,8,,
выжечь,2,св,8,(-г-),
возжечь,5,св,8,,
зажечь,4,св,8,,
дожечь,4,св,8,,
нажечь,4,св,8,,
обжечь,4,св,8,,
ожечь,3,св,8,,
пережечь,6,св,8,,
прижечь,5,св,8,,
прожечь,5,св,8,,
жечься,2,нсв,8,,
возжечься,5,св,8,,
зажечься,4,св,8,,
обжечься,4,св,8,,
ожечься,3,св,8,,
пережечься,6,св,8,,
прожечься,5,св,8,,
отлечь,4,свнп,8,,
возлечь,5,свнп,8,,
залечь,4,свнп,8,,
налечь,4,свнп,8,,
облечь,4,св,8,(-г-),
подлечь,5,свнп,8,,
подналечь,7,свнп,8,,
полечь,4,свнп,8,,
приналечь,7,свнп,8,,
слечь,3,свнп,8,,
сесть,2,свнп,7,(-д-),
воссесть,5,свнп,7,(-д-),
засесть,4,свнп,7,(-д-),
засесть,4,свнп,7,(-д-),
насесть,4,свнп,7,(-д-),
насесть,4,свнп,7,(-д-),
обсесть,4,св,7,,
осесть,3,свнп,7,(-д-),
отсесть,4,свнп,7,(-д-),
отсесть,4,свнп,7,(-д-),
присесть,5,свнп,7,(-д-),
присесть,5,свнп,7,(-д-),
подсесть,5,свнп,7,(-д-),
просесть,5,свнп,7,(-д-),
усесть,3,свнп,7,(-д-),
пересесть,6,свнп,7,(-д-),
рассесться,5,св,7,(-д-),
рассесться,5,св,7,(-д-),
ссесться,3,св,7,(-д-),
усесться,3,св,7,(-д-),
толочь,4,нсв,8,(-к-),
втолочь,5,св,8,(-к-),
затолочь,6,св,8,(-к-),
истолочь,6,св,8,(-к-),
натолочь,6,св,8,(-к-),
перетолочь,8,св,8,(-к-),
подтолочь,7,св,8,(-к-),
потолочь,6,св,8,(-к-),
протолочь,7,св,8,(-к-),
растолочь,7,св,8,(-к-),
столочь,5,св,8,(-к-),
утолочь,5,св,8,(-к-),
толочься,4,нсв,8,(-к-),
затолочься,6,св,8,(-к-),
истолочься,6,св,8,(-к-),
перетолочься,8,св,8,(-к-),
потолочься,6,св,8,(-к-),
столочься,5,св,8,(-к-),
утолочься,5,св,8,(-к-),
бежать,4,нсвнп,5,,
бежать,4,свнп,5,,
вбежать,5,свнп,5,,
взбежать,6,свнп,5,,
выбежать,2,свнп,5,,
добежать,6,свнп,5,,
забежать,6,свнп,5,,
избежать,6,свнп,5,,
набежать,6,свнп,5,,
оббежать,6,св,5,,
обежать,5,св,5,,
отбежать,6,свнп,5,,
перебежать,8,св,5,,
побежать,6,свнп,5,,
подбежать,7,свнп,5,,
прибежать,7,свнп,5,,
пробежать,7,св,5,,
сбежать,5,свнп,5,,
убежать,5,свнп,5,,
сбежаться,5,св,5,,
пробежаться,7,св,5,,
разбежаться,7,св,5,,
высыпать,2,св,6,,
всыпать,3,св,6,,
засыпать,4,св,6,,
досыпать,4,св,6,,
насыпать,4,св,6,,
