word,accent,infltype1,subtype
достичь,5,8,*3
застичь,5,8,*3
настичь,5,8,*3
постичь,5,8,*3
пристичь,6,8,*3
донять,4,14,*йм
занять,4,14,*йм
заняться,4,14,*йм
нанять,4,14,*йм
наняться,4,14,*йм
недопонять,8,14,*йм
объять,4,14,*йм
отъять,4,14,*йм
перезанять,8,14,*йм
перенять,6,14,*йм
подзаняться,7,14,*йм
поднанять,7,14,*йм
подъять,5,14,*йм
позаняться,6,14,*йм
понять,4,14,*йм
призанять,7,14,*йм
принанять,7,14,*йм
приять,4,14,*йм
пронять,5,14,*йм
разъять,5,14,*йм
унять,3,14,*йм
уняться,3,14,*йм
предпринять,9,14,*м
принять,5,14,*м
приняться,5,14,*м
изъять,4,14,*ым
взять,3,14,*ьм
взяться,3,14,*ьм
взболтаться,7,1,А
вкопаться,5,1,А
всмотреться,7,5,А
всосаться,5,6,А
выболтаться,2,1,А
выкопаться,2,1,А
вымотаться,2,1,А
выпростаться,2,1,А
выработаться,2,1,А
доболтаться,7,1,А
докопаться,6,1,А
доработаться,6,1,А
доскоблиться,8,4,А
доскоблиться,8,4,А
дососаться,6,6,А
доходить,6,4,А
закопаться,6,1,А
заработаться,6,1,А
исстрогаться,8,1,а
истоптаться,7,6,А
насосаться,6,6,А
обмотаться,6,1,А
обработаться,6,1,А
окопаться,5,1,А
опростаться,7,1,А
откопаться,6,1,А
отмолчаться,7,5,А
отскоблиться,8,4,А
отскоблиться,8,4,А
переболтаться,9,1,А
переработаться,8,1,А
подкопаться,7,1,А
подработаться,7,1,А
подсосаться,7,6,А
приработаться,7,1,а
присосаться,7,6,а
проболтаться,8,1,а
прокопаться,7,1,а
промотаться,7,1,а
прососаться,7,6,а
протоптаться,8,6,а
разболтаться,8,1,А
разбросаться,8,1,А
рассосаться,7,6,А
растоптаться,8,6,А
соскоблиться,8,4,А
соскоблиться,8,4,А
стоптаться,6,6,А
утоптаться,6,6,А
выгрести,2,7,б
выгрестись,2,7,б
выскрести,2,7,б
грести,6,7,б
догрести,8,7,б
доскрести,9,7,б
доскрестись,9,7,б
загрести,8,7,б
заскрести,9,7,б
заскрестись,9,7,б
нагрести,8,7,б
наскрести,9,7,б
огрести,7,7,б
огрестись,7,7,б
оскрести,8,7,б
отгрести,8,7,б
отгрестись,8,7,б
отскрести,9,7,б
перегрести,10,7,б
перескрести,11,7,б
погрести,8,7,б
погрести,8,7,б
подгрести,9,7,б
подгрестись,9,7,б
подскрести,10,7,б
поскрести,9,7,б
поскрестись,9,7,б
пригрести,9,7,б
пригрестись,9,7,б
прогрести,9,7,б
проскрести,10,7,б
проскрестись,10,7,б
разгрести,9,7,б
сгрести,7,7,б
сгрестись,7,7,б
скрести,7,7,б
скрестись,7,7,б
соскрести,9,7,б
угрести,7,7,б
брить,3,12,брить
бриться,3,12,брить
выбрить,2,12,брить
выбриться,2,12,брить
добрить,5,12,брить
добриться,5,12,брить
забрить,5,12,брить
обрить,4,12,брить
обриться,4,12,брить
отбрить,5,12,брить
отбриться,5,12,брить
перебрить,7,12,брить
побрить,5,12,брить
побриться,5,12,брить
подбрить,6,12,брить
пробрить,6,12,брить
пробриться,6,12,брить
сбрить,4,12,брить
жечь,2,8,г
выжечь,2,8,г
возжечь,5,8,г
зажечь,4,8,г
дожечь,4,8,г
нажечь,4,8,г
обжечь,4,8,г
ожечь,3,8,г
пережечь,6,8,г
прижечь,5,8,г
прожечь,5,8,г
жечься,2,8,г
возжечься,5,8,г
зажечься,4,8,г
обжечься,4,8,г
ожечься,3,8,г
пережечься,6,8,г
прожечься,5,8,г
отлечь,4,8,г
возлечь,5,8,г
залечь,4,8,г
налечь,4,8,г
облечь,4,8,г
подлечь,5,8,г
подналечь,7,8,г
полечь,4,8,г
приналечь,7,8,г
слечь,3,8,г
беречь,4,8,г
беречься,4,8,г
влечь,3,8,к
влечься,3,8,к
возмочь,5,8,г
впрячь,4,8,г
впрячься,4,8,г
выпрячь,2,8,г
выпрячься,2,8,г
выстричь,2,8,г
достричь,6,8,г
достричься,6,8,г
заберечь,6,8,г
занемочь,6,8,г
запрячь,5,8,г
запрячься,5,8,г
застричь,6,8,г
изжечь,4,8,г
изжечься,4,8,г
изнемочь,6,8,г
лечь,2,8,г
мочь,2,8,г
напрячь,5,8,г
напрячься,5,8,г
настричь,6,8,г
небречь,5,8,г
оберечь,5,8,г
оберечься,5,8,г
облечь,4,8,г
облечься,4,8,г
обстричь,6,8,г
обстричься,6,8,г
остеречь,6,8,г
остеречься,6,8,г
остричь,5,8,г
остричься,5,8,г
отжечь,4,8,г
отпрячь,5,8,г
отпрячься,5,8,г
отстричь,6,8,г
отстричься,6,8,г
перемочь,6,8,г
перемочься,6,8,г
перенапрячь,9,8,г
перенапрячься,9,8,г
перепрячь,7,8,г
перепрячься,7,8,г
перестричь,8,8,г
перестричься,8,8,г
поберечь,6,8,г
поберечься,6,8,г
поджечь,5,8,г
поднапрячь,8,8,г
подпрячь,6,8,г
подпрячься,6,8,г
подстеречь,8,8,г
подстричь,7,8,г
подстричься,7,8,г
помочь,4,8,г
поостеречься,8,8,г
постеречь,7,8,г
постричь,6,8,г
постричься,6,8,г
поулечься,5,8,г
превозмочь,8,8,г
предостеречь,10,8,г
пренебречь,8,8,г
приберечь,7,8,г
прилечь,5,8,г
припрячь,6,8,г
припрячься,6,8,г
приулечься,6,8,г
пролечь,5,8,г
простеречь,8,8,г
простричь,7,8,г
