,inf,per1,per3,pred,right,equals
0,палачествовать,палачествую,палачествует,2,2,True
1,заластить,залащу,заластит,4,4,True
2,взрыть,взрою,взроет,12ы,12ы,True
3,плыть,плыву,плывёт,16,16,True
4,бить,бью,бьёт,11,11,True
5,продырявливать,продырявливаю,продырявливает,1,1,True
6,сходствовать,сходствую,сходствует,2,2,True
7,заглохнуть,заглохну,заглохнет,3,3,True
8,просачиваться,просачиваюсь,просачивается,1,1,True
9,наминать,наминаю,наминает,1,1,True
10,перешагивать,перешагиваю,перешагивает,1,1,True
11,соскоблить,соскоблю,соскоблит,4,4,True
12,грянуться,грянусь,грянется,3,3,True
13,закружить,закружу,закружит,4,4,True
14,подтабанить,подтабаню,подтабанит,4,4,True
15,подвизаться,подвизаюсь,подвизается,1,1,True
16,прилинковать,прилинкую,прилинкует,2,2,True
17,оббивать,оббиваю,оббивает,1,1,True
18,пихаться,пихаюсь,пихается,1,1,True
19,спринцеваться,спринцуюсь,спринцуется,2,2,True
20,потонуть,потону,потонет,3,3,True
21,перечислиться,перечислюсь,перечислится,4,4,True
22,разрастись,разрастусь,разрастётся,7ст,7ст,True
23,переплавиться,переплавлюсь,переплавится,4,4,True
24,приумножаться,приумножаюсь,приумножается,1,1,True
25,пичкать,пичкаю,пичкает,1,1,True
26,сбрехнуть,сбрехну,сбрехнёт,3,3,True
27,раздвоить,раздвою,раздвоит,4,4,True
28,уточняться,уточняюсь,уточняется,1,1,True
29,исцарапывать,исцарапываю,исцарапывает,1,1,True
30,застонать,застону,застонет,6,6,True
31,подслоить,подслою,подслоит,4,4,True
32,театрализовать,театрализую,театрализует,2,2,True
33,мытарить,мытарю,мытарит,4,4,True
34,истискивать,истискиваю,истискивает,1,1,True
35,замешаться,замешаюсь,замешается,1,1,True
36,кудрявиться,кудрявлюсь,кудрявится,4,4,True
37,сдвинуть,сдвину,сдвинет,3,3,True
38,татуироваться,татуируюсь,татуируется,2,2,True
39,подтекать,подтекаю,подтекает,1,1,True
40,поташнивать,,,1,1,True
41,зарывать,зарываю,зарывает,1,1,True
42,решить,решу,решит,4,4,True
43,триангулировать,триангулирую,триангулирует,2,2,True
44,застаиваться,застаиваюсь,застаивается,1,1,True
45,окупиться,окуплюсь,окупится,4,4,True
46,подтыкать,подтыкаю,подтыкает,1,1,True
47,перебороть,переборю,переборет,10ор,10ор,True
