inf per1 per3 pred right why
вымести вымещу выместит 4щ 7т pymorphy
помахать помахаю помахает 1 6 pymorphy
плескаться плескаюсь плескается 1 6 pymorphy
защипать защипаю защипает 1 6 pymorphy
прорыскать прорыскаю прорыскает 1 6 pymorphy
помахаться помахаюсь помахается 1 6 pymorphy
изболеться изболеюсь изболеется 1 5 pymorphy
турлыкать турлыкаю турлыкает 1 6 pymorphy
колыхать колыхаю колыхает 1 6 pymorphy
щепать щепаю щепает 1 6 pymorphy
заметать заметаю заметает 1 6 pymorphy
брызгаться брызгаюсь брызгается 1 6 pymorphy
глодать глодаю глодает 1 6 pymorphy
прорезать прорезаю прорезает 1 6 pymorphy
хиротонисать хиротонисую хиротонисует 6 1 pymorphy
срезаться срежусь срежется 6 1 pymorphy
посыпаться посыпаюсь посыпается 1 6 pymorphy
прожать прожму прожмёт 14м 14н pymorphy
перерезаться перережусь перережется 6 1 pymorphy
заколыхать заколыхаю заколыхает 1 6 pymorphy
выполоскать выполоскаю выполоскает 6 1 ?
зажать зажну зажнёт 14м 14н pymorphy
ощипать ощипаю ощипает 1 6 pymorphy
покапать покапаю покапает 1 6 pymorphy
дополоскать дополоскаю дополоскает 6 1 ?
вырезать вырезаю вырезает 1 6 pymorphy
разрезаться разрежусь разрежется 6 1 pymorphy
закапать закапаю закапает 1 6 pymorphy
забрызгать забрызгаю забрызгает 1 6 pymorphy
выглодать выглодаю выглодает 1 6 pymorphy
сметать сметаю сметает 1 6 pymorphy
обрезаться обрежусь обрежется 6 1 pymorphy
внимать внимаю внимает 1 6 pymorphy
отщипать отщипаю отщипает 1 6 pymorphy
прохныкать прохныкаю прохныкает 1 6 pymorphy
дометать дометаю дометает 1 6 pymorphy
поплескать поплескаю поплескает 1 6 pymorphy
нивелироваться нивелироваюсь нивелировается 1 2 pymorphy
потыкать потыкаю потыкает 1 6 pymorphy
осыпать осыплю осыпет 6 1 pymorphy
блистать блещу блещет 6 1 pymorphy
забрызгаться забрызгаюсь забрызгается 1 6 pymorphy
тыкаться тыкаюсь тыкается 1 6 pymorphy
поклепать поклепаю поклепает 1 6 pymorphy
курлыкать курлыкаю курлыкает 1 6 pymorphy
кликать кличу кличет 6 1 pymorphy
наплескаться наплескаюсь наплескается 1 6 pymorphy
засыпать засыплю засыпет 6 1 pymorphy
расколыхаться расколыхаюсь расколыхается 1 6 pymorphy
заколыхаться заколыхаюсь заколыхается 1 6 pymorphy
расхныкаться расхныкаюсь расхныкается 1 6 pymorphy
метать метаю метает 1 6 pymorphy
прополоскаться прополоскаюсь прополоскается 6 1 ?
досыпать досыплю досыпет 6 1 pymorphy
полоскаться полоскаюсь полоскается 6 1 ?
изболеть изболею изболеет 1 5 pymorphy
выпеть выпою выпоет 1 12петь ?
пожать пожну пожнёт 14м 14н ?
вырезаться вырезаюсь вырезается 1 6 pymorphy
поболеть поболею поболеет 1 5 pymorphy
пересыпать пересыплю пересыпет 1 6 pymorphy
всколыхаться всколыхаюсь всколыхается 1 6 pymorphy
вырезать вырезаю вырезает 1 6 pymorphy
обжаться обожмусь обожмётся 14м 14н pymorphy
ссыпать ссыплю ссыпет 6 1 pymorphy
двигать двигаю двигает 1 6 pymorphy
доглодать доглодаю доглодает 1 6 pymorphy
